Heuristic,Tree with gini and max_depth 4,Tree with gini max_depth 4 and impurity decrease,Tree with entropy and max_depth 4,Tree with entropy max_depth 4 and impurity decrease,Tree with gini and max_depth 3,Tree with gini max_depth 3 and impurity decrease,Tree with entropy and max_depth 3,Tree with entropy max_depth 3 and impurity decrease,Small NN with lbfgs,Medium NN with lbfgs,Mixed NN with lbfgs,Big NN with lbfgs,Small NN with adam,Medium NN with adam,Mixed NN with adam,Big NN with adam,K-Neighbors (2 groups),K-Neighbors (3 groups),K-Neighbors (5 groups),K-Neighbors (8 groups),Linear Division SVC,Polynomial  Division SVC,RBF Division SVC,Random Forest with gini (3 trees),Random Forest with gini (5 trees),Random Forest with gini (10 trees),Random Forest with entropy (3 trees),Random Forest with entropy (5 trees),Random Forest with entropy (10 trees)
Earliest Start,0.9575809325809326,0.8842961092961094,0.9305836055836056,0.8842961092961094,0.9566156816156816,0.8842961092961094,0.9305836055836056,0.8842961092961094,0.7599309474309475,0.9208754083754084,0.9083494208494208,0.8910046035046035,0.2757944757944758,0.891038016038016,0.9189820314820315,0.8997104247104246,0.7358219483219482,0.7213320463320463,0.7415837540837541,0.7280813780813781,0.920931095931096,0.8611412236412236,0.8862340362340363,0.9373292248292249,0.9363639738639739,0.9315488565488566,0.9315414315414317,0.9382870507870508,0.9363676863676864
Shortest Activity,0.9976359205937584,0.9964566753107394,0.9964566753107394,0.9964566753107394,0.9976359205937584,0.9964566753107394,0.9964566753107394,0.9964566753107394,0.7623345703299651,0.9005354108915318,0.6619422337476526,0.8829249754091031,0.3380577662523473,0.9598218277743003,0.9704518018420817,0.9668972994724135,0.8132433157471162,0.8368505767683091,0.8368673432889208,0.8096999910578557,0.9834514441563087,0.9479902530626845,0.9562840919252437,0.9775328623803987,0.9798801752660289,0.9964566753107394,0.9834290887954931,0.983445855316105,0.9964566753107394
Longest Activity,0.9724770642201834,0.9426605504587156,0.944954128440367,0.9426605504587156,0.9690366972477065,0.9426605504587156,0.944954128440367,0.9426605504587156,0.8543577981651376,0.911697247706422,0.8555045871559634,0.8841743119266054,0.32798165137614677,0.926605504587156,0.9472477064220184,0.9380733944954128,0.7672018348623852,0.7958715596330276,0.7672018348623852,0.7408256880733946,0.9197247706422018,0.9208715596330275,0.9426605504587157,0.963302752293578,0.9678899082568808,0.9827981651376146,0.966743119266055,0.9701834862385321,0.9770642201834863
Longest Job Remaining Time,0.986527324027324,0.972081972081972,0.9894119394119394,0.972081972081972,0.9894119394119394,0.972081972081972,0.9894119394119394,0.972081972081972,0.8450846450846451,0.8854989604989605,0.9037719037719039,0.8816008316008316,0.27527101277101274,0.9095559845559846,0.9028103653103654,0.897980397980398,0.7324250074250075,0.7363082863082863,0.7334051084051084,0.7517040392040393,0.8912273537273538,0.8652658152658153,0.9028140778140777,0.9778400653400654,0.9681912681912682,0.9836278586278586,0.975935550935551,0.9826737451737453,0.9797928422928424
Most Loaded Machine,0.8625,0.8384615384615385,0.8384615384615385,0.8384615384615385,0.8701923076923077,0.8384615384615385,0.8384615384615385,0.8384615384615385,0.8076923076923077,0.8326923076923076,0.8009615384615385,0.8259615384615384,0.275,0.8365384615384615,0.8432692307692308,0.8317307692307692,0.8048076923076923,0.8096153846153846,0.8105769230769231,0.8076923076923077,0.8413461538461539,0.8673076923076923,0.864423076923077,0.8596153846153847,0.8596153846153847,0.8615384615384615,0.8528846153846154,0.8548076923076924,0.8586538461538462
Least Loaded Machine,0.8738899046624005,0.753783302860128,0.8224092333812199,0.753783302860128,0.8759019524617997,0.753783302860128,0.8224092333812199,0.753783302860128,0.7982075225284054,0.8395667363197075,0.796199555961865,0.7769647054982369,0.2885962191458796,0.8224214770797963,0.8345223325062036,0.8294575225284054,0.7184479887684472,0.7285572025597493,0.7315609899438422,0.7366135562230639,0.8395626550868487,0.8304778307431109,0.8446029776674938,0.8234213791302076,0.8415991902834008,0.8496596251795743,0.8244294436463367,0.8426072547995299,0.850671770928562
Hyper-Heuristic,0.8377388930255647,0.6986269191220792,0.7312608587738892,0.6986269191220792,0.7734372229904619,0.6986269191220792,0.7312608587738892,0.6986269191220792,0.7302414636740772,0.7713408148069355,0.6965127823281211,0.7007366237634294,0.3013730808779208,0.7566039073857391,0.7017826117788888,0.7428908272169628,0.7260397830018083,0.6765282062191966,0.6839121724639223,0.7070746019926959,0.7144497039322057,0.7755735205474595,0.7903059958160479,0.7439146544693828,0.7439190866219906,0.7460509520263803,0.7523534730347835,0.7544631776761337,0.7502703613090805
Simple Hyper-Heuristic 1,0.9228768176936697,0.7276071749920181,0.7562331291904915,0.7276071749920181,0.8742961425710388,0.7276071749920181,0.7562331291904915,0.7276071749920181,0.7828890082140888,0.7914767944736308,0.7866804051896786,0.7723891968769048,0.2723928250079819,0.8276202362638958,0.8305046004702058,0.8533182886831335,0.7276253156474037,0.7162075871477085,0.7419020114358692,0.7409405567004325,0.797162075871477,0.8152301686355325,0.8533400574695963,0.8866753258061708,0.859036223260674,0.870479348677909,0.9000268481699707,0.8790199692334485,0.8676131251269845
Simple Hyper-Heuristic 3,0.8166666666666667,0.7607843137254902,0.807843137254902,0.719607843137255,0.8264705882352941,0.7607843137254902,0.807843137254902,0.719607843137255,0.7676470588235293,0.7862745098039217,0.7774509803921569,0.7950980392156863,0.2803921568627451,0.8058823529411765,0.8127450980392157,0.8166666666666667,0.7901960784313726,0.7872549019607844,0.7931372549019607,0.7901960784313726,0.8107843137254902,0.8529411764705883,0.834313725490196,0.8274509803921568,0.8274509803921568,0.8215686274509804,0.8352941176470587,0.8352941176470587,0.8333333333333334
Simple Hyper-Heuristic 3,0.8166666666666667,0.7607843137254902,0.807843137254902,0.719607843137255,0.8264705882352941,0.7607843137254902,0.807843137254902,0.719607843137255,0.7676470588235293,0.7862745098039217,0.7774509803921569,0.7950980392156863,0.2803921568627451,0.8058823529411765,0.8127450980392157,0.8166666666666667,0.7901960784313726,0.7872549019607844,0.7931372549019607,0.7901960784313726,0.8107843137254902,0.8529411764705883,0.834313725490196,0.8274509803921568,0.8274509803921568,0.8215686274509804,0.8352941176470587,0.8352941176470587,0.8333333333333334
