Heuristic,Tree with gini and max_depth 4,Tree with gini max_depth 4 and impurity decrease,Tree with entropy and max_depth 4,Tree with entropy max_depth 4 and impurity decrease,Tree with gini and max_depth 3,Tree with gini max_depth 3 and impurity decrease,Tree with entropy and max_depth 3,Tree with entropy max_depth 3 and impurity decrease,Small NN with lbfgs,Medium NN with lbfgs,Mixed NN with lbfgs,Big NN with lbfgs,Small NN with adam,Medium NN with adam,Mixed NN with adam,Big NN with adam,K-Neighbors (2 groups),K-Neighbors (3 groups),K-Neighbors (5 groups),K-Neighbors (8 groups),Linear Division SVC,Polynomial  Division SVC,RBF Division SVC,Random Forest with gini (3 trees),Random Forest with gini (5 trees),Random Forest with gini (10 trees),Random Forest with entropy (3 trees),Random Forest with entropy (5 trees),Random Forest with entropy (10 trees)
Earliest Start,0.0071400123817383955,0.011084287738714704,0.010805370726117246,0.011084287738714704,0.0062424267887273175,0.011084287738714704,0.010805370726117246,0.011084287738714704,0.09931211722998665,0.003318803901469255,0.033467389711226384,0.01141839830197203,0.008366135147388232,0.015486926276262998,0.02636575781707485,0.005462842933139381,0.028587359290145598,0.017836782716291407,0.014789445734396573,0.017033187127667486,0.004208106172397815,0.018286915635679288,0.01761040840015236,0.009127024834416183,0.0062966985179539435,0.014706844365777485,0.005597884414900718,0.003798939944490263,0.008295763788032089
Shortest Activity,0.0023640926185929108,0.003912810849638044,0.003912810849638044,0.003912810849638044,0.0023640926185929108,0.003912810849638044,0.003912810849638044,0.003912810849638044,0.1389849811488197,0.017898753532640612,0.009584950566207971,0.01073178985956243,0.009584950566207982,0.010782671809899511,0.00841236675676343,0.01204380799990554,0.005104101449931816,0.024652642113310592,0.022437184686974865,0.0377593112496562,0.00529638967492058,0.010553216216077502,0.008340924128593784,0.018452634015385754,0.015867047074995075,0.003912810849638044,0.018509870043373376,0.004111001329266489,0.003912810849638044
Longest Activity,0.008581782997187933,0.015039996615371561,0.013761467889908247,0.015039996615371561,0.010447744930211335,0.015039996615371561,0.013761467889908247,0.015039996615371561,0.11719151106257315,0.018491416853895767,0.05283947721792786,0.02136231193829949,0.014686064764754243,0.014864084170660218,0.0201260651086975,0.020642201834862383,0.018168554492838156,0.011917780786024361,0.018168554492838156,0.013951290207106035,0.01986296797670731,0.00818971150062254,0.011917780786024361,0.013373742878085548,0.006487218176023372,0.0067844951641050566,0.011410406388837363,0.005128596278669261,0.009730827264035078
Longest Job Remaining Time,0.004295190311443731,0.005728228412992855,0.004193847692805407,0.005728228412992855,0.004193847692805407,0.005728228412992855,0.004193847692805407,0.005728228412992855,0.0691176966719825,0.011552858218128632,0.011864627512795397,0.011622190176756394,0.004673172205394735,0.01677340073469861,0.02225654459583245,0.02217026400918513,0.01419016050699336,0.014382122467604955,0.02103428596054676,0.01947281596517857,0.008955860237241521,0.02269476323938062,0.022413298414434984,0.016467958014656222,0.02883477327899802,0.009202520174701898,0.007395996934633735,0.0033417214964240904,0.010657311441713602
Most Loaded Machine,0.007385717065258298,0.006661733875264889,0.006661733875264889,0.006661733875264889,0.003189062298418642,0.006661733875264889,0.006661733875264889,0.006661733875264889,0.01231370045660164,0.009421114395319927,0.015233634151687363,0.014131671592979868,0.015504341823651062,0.012900392177883403,0.007385717065258251,0.02423000609298876,0.008760032287638745,0.015504341823651057,0.01571166792150787,0.011538461538461553,0.00787053151141579,0.01550434182365104,0.014487037666653223,0.013733516208736245,0.005769230769230795,0.006661733875264937,0.0063052293502903626,0.004996300406448704,0.0041912489841737545
Least Loaded Machine,0.021288308371164143,0.005718753909645569,0.00546275114411973,0.005718753909645569,0.021313669979698312,0.005718753909645569,0.00546275114411973,0.005718753909645569,0.05479865310789361,0.0116756097651626,0.011678962514477337,0.009924043677082528,0.006617855938268466,0.01762698173426181,0.01227931403028383,0.01630415034491613,0.010925089889999825,0.022147116114137406,0.03805468014422394,0.032188917191350315,0.008122095339684892,0.010218548907833318,0.01288808103865801,0.013043857733190715,0.01793033072474493,0.01636290548338655,0.013095639679168594,0.01715607920482411,0.017219271842458223
Hyper-Heuristic,0.008382741497667831,0.0024648945636161074,0.019840039933054734,0.0024648945636161074,0.02363909773497081,0.0024648945636161074,0.019840039933054734,0.0024648945636161074,0.027838721343758997,0.026208317515795724,0.00840204632295253,0.016732696882790835,0.002464894563616152,0.013440426599843765,0.005902554076136025,0.01951104861648369,0.01040983486387617,0.03132623484259643,0.020291737890985692,0.012467533418117845,0.015910819818588367,0.025707200373476662,0.014101613562949847,0.015132277086988997,0.013513117975722272,0.010424335307896078,0.0217742825617338,0.018427295304631764,0.015198984816150783
Simple Hyper-Heuristic 1,0.010758432792449757,0.008232046326444404,0.026127628690744795,0.008232046326444404,0.008773492378109546,0.008232046326444404,0.026127628690744795,0.008232046326444404,0.01187741287894751,0.008034025844617083,0.012947260130513987,0.016064623689949136,0.008232046326444425,0.020883918318107736,0.02209034882935453,0.02203150176175563,0.025788319530687047,0.028347239842822898,0.012497678777842006,0.017399080388331316,0.014808256437080442,0.012865434140557,0.013792817836601332,0.006087319580284257,0.009117327364619622,0.015438854769425317,0.01585656289149284,0.02144698329966477,0.024034292183808686
Simple Hyper-Heuristic 3,0.028734021352456545,0.04268929619034754,0.01592948706791366,0.021209125149788174,0.022761150522046872,0.04268929619034754,0.01592948706791366,0.021209125149788174,0.024705104251674798,0.02805703533579251,0.018909119139201847,0.017400234656175326,0.021209125149788174,0.029672050883179535,0.01601973984153746,0.018883686553194345,0.016287497770427595,0.019286583895005902,0.02063486782338153,0.02738086283091948,0.012205783919596801,0.018498002219718857,0.015777918568069677,0.01543923112551334,0.01941077438551304,0.019705638472786037,0.017970885078258222,0.016169041669088894,0.016752948520230435
Simple Hyper-Heuristic 3,0.028734021352456545,0.04268929619034754,0.01592948706791366,0.021209125149788174,0.022761150522046872,0.04268929619034754,0.01592948706791366,0.021209125149788174,0.024705104251674798,0.02805703533579251,0.018909119139201847,0.017400234656175326,0.021209125149788174,0.029672050883179535,0.01601973984153746,0.018883686553194345,0.016287497770427595,0.019286583895005902,0.02063486782338153,0.02738086283091948,0.012205783919596801,0.018498002219718857,0.015777918568069677,0.01543923112551334,0.01941077438551304,0.019705638472786037,0.017970885078258222,0.016169041669088894,0.016752948520230435
Simple Hyper-Heuristic 2,0.0020047708597728535,0.016153355418345918,0.012306891971085428,0.012306891971085428,0.005661337564301373,0.016153355418345918,0.012306891971085428,0.012306891971085428,0.08677429807676831,0.030026504091992947,0.017489592809104566,0.025452170117554282,0.013832684455277865,0.01719713152971631,0.02821676672006297,0.028595155796694794,0.007906176993061833,0.026974140068162768,0.012181714090006327,0.0068894612230064375,0.02717872161376163,0.0021708585017600887,0.016369577372591593,0.012279260128420347,0.013107677039689793,0.01795679319707264,0.012328743316546337,0.018465903803536084,0.014203825079605523
